C1	C2	C3	C4	C5	C6	C7	C8	C9	C10	C11	IN
96.7 	83.4 	21332	97.0 	78.2 	107.6 	-0.5 	-3.4 	94364	110.3 	0.63 	1 
95.0 	81.2 	21224	95.2 	78.7 	105.3 	1.5 	-0.6 	94348	108.6 	0.65 	1 
95.2 	81.1 	21396	95.4 	81.0 	104.9 	3.7 	0.3 	94333	107.7 	0.66 	1 
95.0 	80.9 	21364	95.2 	81.7 	108.3 	1.2 	-5.3 	94317	108.8 	0.68 	1 
95.2 	80.7 	21325	95.7 	80.6 	110.3 	1.0 	-1.4 	96676	109.0 	0.69 	1 
95.9 	81.4 	21336	96.0 	80.9 	110.8 	0.9 	-0.9 	99035	109.8 	0.69 	1 
96.0 	80.6 	21483	95.6 	82.2 	112.2 	0.3 	-6.1 	101394	110.3 	0.70 	1 
96.7 	81.4 	21545	97.1 	83.6 	112.0 	-0.8 	-2.2 	99550	110.4 	0.72 	1 
97.1 	82.2 	21449	97.2 	85.2 	113.4 	-0.8 	-5.0 	97706	111.3 	0.72 	1 
98.2 	82.6 	21399	98.3 	85.7 	114.3 	0.4 	-4.0 	95862	111.7 	0.72 	1 
98.5 	83.2 	21589	98.8 	87.1 	115.6 	2.0 	0.7 	97202	112.5 	0.73 	1 
98.9 	83.6 	21797	98.9 	87.5 	116.4 	2.9 	-1.4 	98543	112.9 	0.74 	1 
99.8 	84.7 	21909	100.0 	88.0 	115.3 	0.6 	0.1 	99883	113.5 	0.74 	1 
101.2 	85.9 	22051	103.2 	89.2 	119.0 	2.1 	2.6 	101520	114.9 	0.74 	1 
101.4 	86.0 	22047	101.3 	89.9 	118.7 	1.9 	-0.4 	103158	115.8 	0.74 	1 
102.0 	86.8 	22115	102.7 	90.7 	117.3 	12.4 	4.6 	104795	116.5 	0.74 	1 
99.4 	84.5 	22187	100.6 	92.8 	113.0 	-3.8 	-4.2 	105069	113.2 	0.74 	1 
102.2 	86.8 	22432	102.9 	92.9 	115.0 	-1.3 	-0.7 	105342	116.4 	0.74 	0 
101.5 	86.6 	22352	101.8 	91.7 	116.7 	-2.1 	0.7 	105616	115.8 	0.74 	-1 
102.1 	87.0 	22297	101.3 	91.7 	115.4 	-2.2 	-0.6 	103118	116.0 	0.74 	-1 
101.6 	87.0 	22271	101.0 	90.5 	117.9 	-0.7 	-0.8 	100620	114.7 	0.73 	-1 
100.8 	86.5 	22222	99.5 	89.2 	114.3 	-2.6 	-0.1 	98122	114.3 	0.71 	-1 
100.0 	86.3 	22052	98.9 	87.6 	113.9 	-1.4 	-1.5 	95831	113.9 	0.70 	-1 
98.7 	84.8 	22098	98.2 	87.5 	112.5 	-5.1 	-6.6 	93541	111.7 	0.68 	-1 
97.8 	84.4 	21869	97.1 	85.9 	110.9 	-4.9 	-4.4 	91250	110.5 	0.67 	-1 
99.2 	84.2 	22081	97.8 	84.2 	114.4 	-3.5 	-4.8 	86813	111.8 	0.63 	-1 
96.7 	83.1 	21711	96.6 	81.6 	111.4 	-7.4 	-6.0 	82376	109.3 	0.61 	-1 
94.7 	80.9 	21457	93.0 	77.8 	110.0 	-14.3 	-8.6 	77939	107.9 	0.57 	-1 
94.1 	81.4 	21807	93.4 	77.2 	109.3 	-1.6 	-5.2 	75870	107.4 	0.56 	-1 
93.3 	81.5 	21917	92.7 	76.0 	107.3 	-3.1 	-8.2 	73800	106.6 	0.54 	-1 
93.4 	81.1 	21451	92.8 	75.4 	104.9 	-4.5 	-5.6 	71731	105.2 	0.52 	-1 
93.2 	80.9 	21340	92.6 	74.3 	106.1 	-4.6 	-4.8 	73406	105.8 	0.51 	-1 
91.2 	79.5 	21202	90.9 	74.2 	102.1 	-5.1 	-7.1 	75080	104.3 	0.50 	-1 
92.6 	81.1 	21448	91.8 	73.8 	106.0 	-4.7 	-9.3 	76755	105.6 	0.49 	-1 
92.1 	80.0 	21408	92.1 	75.0 	102.5 	-6.5 	-7.3 	75027	103.1 	0.48 	-1 
91.7 	80.6 	21058	91.0 	73.1 	100.6 	-3.0 	-4.4 	73298	103.7 	0.47 	-1 
91.5 	80.4 	21006	90.8 	73.4 	100.9 	-4.9 	-6.2 	71570	103.3 	0.47 	-1 
92.6 	82.0 	21043	91.3 	73.1 	101.8 	-6.2 	-9.7 	74181	103.9 	0.48 	0 
92.6 	81.9 	21128	91.4 	73.9 	100.8 	-3.9 	-8.2 	76791	102.1 	0.48 	1 
94.2 	83.9 	20984	93.2 	74.3 	101.5 	-3.9 	-7.7 	79402	104.0 	0.48 	1 
92.2 	82.9 	21056	90.4 	73.9 	98.8 	-2.3 	-4.9 	79844	103.6 	0.47 	1 
93.9 	83.7 	21157	92.3 	75.1 	101.9 	-3.5 	-7.1 	80285	103.9 	0.46 	1 
93.1 	83.9 	21280	91.5 	74.7 	101.2 	-2.2 	-5.4 	80727	104.1 	0.46 	1 
93.8 	84.7 	21092	92.4 	76.6 	102.3 	-2.6 	-6.7 	84540	104.4 	0.47 	1 
94.3 	85.3 	21542	93.1 	77.1 	101.9 	-1.7 	-3.7 	88352	104.5 	0.47 	1 
95.1 	86.8 	21973	94.3 	79.8 	103.2 	-1.9 	-7.4 	92165	104.4 	0.48 	1 
95.2 	87.6 	21757	94.0 	79.4 	101.5 	-0.4 	-8.5 	93147	104.7 	0.49 	1 
96.4 	88.5 	21710	96.2 	79.8 	104.0 	-3.0 	-4.8 	94129	105.8 	0.49 	1 
96.2 	88.1 	21721	94.9 	81.9 	101.6 	-1.4 	-4.3 	95111	105.9 	0.50 	1 
96.2 	87.7 	21653	95.5 	84.0 	103.1 	-1.7 	-4.6 	97399	105.1 	0.51 	1 
95.9 	88.2 	21876	95.8 	84.4 	103.1 	0.1 	-1.8 	99686	106.7 	0.52 	1 
97.5 	89.5 	22016	96.4 	86.6 	104.9 	-3.3 	-5.9 	101974	106.1 	0.54 	1 
98.8 	91.8 	21988	97.3 	86.9 	105.9 	-3.3 	-5.6 	103038	107.5 	0.56 	1 
98.4 	91.4 	22045	96.1 	86.3 	104.3 	-2.3 	-1.4 	104103	106.3 	0.56 	1 
99.9 	92.4 	22145	97.3 	88.2 	108.1 	-0.9 	-1.5 	105167	108.1 	0.58 	1 
99.4 	92.4 	22287	97.3 	88.0 	106.8 	-0.4 	-5.2 	106282	106.6 	0.60 	1 
100.8 	93.4 	22374	97.8 	89.0 	111.7 	-0.9 	-1.0 	107397	109.2 	0.61 	1 
98.7 	91.6 	22383	95.7 	90.2 	107.9 	-1.2 	-5.6 	108512	107.0 	0.62 	1 
100.3 	92.8 	22308	97.0 	91.2 	110.1 	-2.1 	-0.9 	110769	107.4 	0.64 	1 
100.7 	92.9 	22312	96.6 	91.1 	109.7 	-0.8 	-1.6 	113026	106.9 	0.65 	0 
101.9 	93.1 	22389	96.8 	90.4 	112.0 	-0.8 	1.0 	115283	107.8 	0.65 	-1 
97.6 	89.6 	22376	93.3 	88.5 	108.5 	1.4 	-0.1 	109818	103.6 	0.65 	-1 
98.7 	90.1 	22209	94.6 	88.8 	109.9 	-0.5 	-3.7 	104354	104.1 	0.64 	-1 
97.0 	88.1 	22043	93.6 	86.1 	105.9 	1.7 	-4.3 	98889	103.8 	0.63 	-1 
96.1 	86.4 	21850	92.5 	83.9 	105.5 	-1.2 	-3.2 	99247	102.2 	0.62 	-1 
94.1 	84.4 	21736	91.1 	82.2 	102.8 	-1.3 	-3.2 	99605	100.5 	0.61 	-1 
93.0 	83.7 	21698	90.0 	80.7 	101.9 	-2.1 	-4.2 	99963	99.0 	0.61 	-1 
91.5 	82.6 	21939	89.1 	80.0 	98.2 	-2.6 	-4.9 	93412	97.7 	0.60 	-1 
90.5 	81.7 	21320	88.0 	79.2 	95.1 	-3.4 	-6.9 	86861	97.0 	0.58 	-1 
88.6 	80.8 	21154	86.0 	77.7 	93.5 	-2.1 	-8.9 	80310	95.4 	0.57 	-1 
88.5 	79.8 	21202	85.7 	76.4 	92.2 	-4.3 	-6.9 	79729	94.4 	0.54 	-1 
87.0 	79.2 	21069	84.9 	75.4 	92.0 	-2.4 	-8.2 	79147	93.2 	0.52 	-1 
87.9 	80.2 	21090	84.9 	75.0 	92.9 	-5.2 	-9.0 	78566	93.6 	0.51 	-1 
87.3 	80.6 	20924	85.2 	75.9 	91.0 	-4.2 	-8.8 	80030	92.9 	0.50 	0 
88.7 	82.7 	21109	88.1 	77.1 	90.6 	-5.9 	-9.1 	81494	92.9 	0.51 	1 
89.4 	84.1 	21096	87.7 	79.4 	91.3 	-4.9 	-10.2 	82958	94.2 	0.52 	1 
88.9 	85.7 	21307	88.0 	83.2 	86.9 	-4.1 	-4.8 	84562	94.2 	0.52 	1 
92.7 	89.1 	21522	91.6 	85.0 	93.3 	-2.8 	-4.9 	86167	97.1 	0.53 	1 
91.7 	87.2 	21500	90.8 	85.2 	89.3 	-3.1 	-7.3 	87771	95.4 	0.53 	1 
92.3 	87.6 	21846	91.3 	86.3 	88.9 	-5.1 	-3.8 	88432	95.3 	0.54 	1 
92.6 	88.7 	21894	92.2 	87.3 	92.0 	-1.6 	-5.3 	89093	95.5 	0.55 	1 
93.3 	89.5 	21738	93.1 	87.9 	92.6 	-2.3 	-4.2 	89754	95.9 	0.55 	1 
93.4 	89.7 	21773	92.5 	88.0 	91.1 	-2.1 	-2.5 	89689	95.9 	0.56 	1 
93.0 	89.5 	21823	92.5 	89.3 	90.8 	-1.2 	-1.2 	89624	95.9 	0.56 	1 
92.9 	88.7 	21924	92.6 	90.0 	89.3 	-2.2 	-2.6 	89559	94.5 	0.57 	1 
93.4 	91.4 	21923	93.1 	90.5 	89.6 	-1.3 	-0.5 	90761	95.3 	0.58 	1 
93.0 	91.5 	21825	92.9 	90.5 	91.3 	1.0 	0.5 	91962	96.6 	0.59 	1 
93.6 	91.3 	21978	93.4 	90.2 	91.2 	0.4 	0.5 	93164	95.5 	0.60 	1 
92.3 	90.5 	21812	92.5 	90.7 	86.2 	-1.1 	-0.2 	92699	93.9 	0.61 	1 
93.7 	91.6 	21981	93.4 	92.0 	88.7 	-0.3 	0.1 	92233	93.8 	0.61 	1 
92.9 	90.9 	21602	93.3 	91.3 	89.2 	-0.1 	1.6 	91768	94.2 	0.62 	1 
93.6 	92.1 	20935	94.1 	93.4 	88.7 	-0.7 	-1.2 	93831	94.3 	0.63 	1 
92.3 	92.0 	21517	93.1 	94.2 	88.6 	0.2 	-0.4 	95894	93.2 	0.65 	1 
95.1 	93.4 	21775	96.0 	94.6 	91.9 	0.3 	1.3 	97957	95.2 	0.67 	1 
96.7 	95.9 	21639	97.4 	96.4 	94.4 	2.4 	3.9 	101726	96.1 	0.70 	1 
96.5 	95.3 	21933	96.6 	97.4 	91.7 	-1.1 	-2.3 	105495	95.2 	0.72 	1 
96.4 	96.4 	21744	97.2 	98.8 	92.9 	1.7 	2.9 	109264	95.9 	0.75 	1 
97.9 	98.4 	21969	98.5 	99.2 	96.4 	3.3 	3.5 	110794	97.4 	0.76 	1 
97.7 	97.5 	21968	98.1 	100.1 	95.4 	4.1 	2.3 	112323	97.2 	0.76 	1 
97.2 	96.3 	22074	97.6 	100.7 	95.5 	0.6 	2.1 	113853	98.0 	0.77 	1 
98.9 	98.1 	22239	98.9 	100.5 	96.7 	1.1 	5.4 	116605	98.8 	0.78 	1 
98.9 	99.2 	22502	98.9 	101.2 	98.1 	-0.3 	-0.3 	119358	99.7 	0.80 	1 
99.2 	99.1 	22479	99.2 	101.9 	98.8 	-0.9 	6.6 	122110	99.0 	0.82 	1 
100.4 	99.5 	22643	99.9 	100.4 	100.1 	2.7 	7.9 	122922	100.2 	0.83 	1 
99.3 	98.5 	22383	99.1 	100.7 	98.8 	-0.3 	7.1 	123734	98.8 	0.84 	1 
99.5 	98.5 	22326	99.4 	100.6 	99.1 	0.8 	3.9 	124546	99.2 	0.86 	1 
98.0 	97.7 	22338	98.5 	100.1 	97.4 	0.0 	3.1 	124212	98.5 	0.88 	1 
98.9 	98.7 	22291	99.4 	99.2 	98.1 	1.3 	8.7 	123877	98.4 	0.91 	1 
97.6 	96.8 	22041	97.3 	99.0 	98.8 	-0.4 	4.9 	123543	98.0 	0.92 	1 
99.8 	98.4 	22396	99.8 	99.8 	99.2 	2.7 	4.8 	124969	99.0 	0.91 	1 
99.7 	98.1 	22511	99.5 	99.2 	97.0 	-2.8 	4.2 	126394	98.4 	0.91 	1 
100.0 	99.0 	22467	99.7 	99.4 	99.2 	-0.1 	0.9 	127820	99.1 	0.93 	1 
100.5 	99.7 	22528	101.6 	99.7 	100.9 	3.6 	3.0 	127847	100.9 	0.94 	1 
99.8 	98.8 	22379	100.1 	99.2 	98.6 	2.7 	3.1 	127875	99.4 	0.94 	1 
100.1 	100.5 	22556	100.6 	100.8 	99.6 	2.9 	1.6 	127902	99.7 	0.95 	1 
99.3 	99.6 	22481	99.4 	99.6 	98.7 	0.4 	-0.2 	127654	99.5 	0.96 	1 
99.4 	99.9 	22598	99.2 	99.8 	101.8 	1.4 	5.2 	127406	100.5 	0.96 	1 
100.3 	101.6 	22730	100.1 	98.5 	100.0 	0.0 	1.5 	127158	99.8 	0.96 	1 
99.8 	101.8 	22885	99.6 	100.0 	100.6 	-0.5 	2.5 	127817	101.0 	0.98 	1 
101.4 	102.2 	22796	100.8 	100.2 	103.1 	0.6 	5.0 	128476	102.2 	0.99 	1 
101.6 	102.3 	23042	100.9 	102.3 	104.2 	1.2 	5.6 	129135	102.9 	1.01 	1 
102.0 	102.8 	23200	101.1 	103.9 	101.7 	-0.5 	7.5 	129522	102.1 	1.03 	1 
101.9 	102.7 	23099	101.2 	104.1 	101.4 	1.2 	7.1 	129908	102.3 	1.04 	1 
102.5 	103.2 	23127	101.7 	104.6 	101.7 	1.1 	4.0 	130295	102.3 	1.05 	1 
104.5 	104.0 	23382	103.2 	105.2 	104.6 	-0.9 	5.1 	131731	104.7 	1.05 	1 
103.0 	102.6 	23408	101.3 	105.3 	103.7 	0.1 	8.8 	133168	104.1 	1.07 	1 
104.3 	104.7 	23523	103.2 	104.5 	106.5 	0.2 	5.7 	134604	104.8 	1.07 	1 
104.7 	105.5 	23555	103.1 	103.7 	104.4 	-0.1 	6.4 	136913	104.4 	1.08 	1 
105.1 	106.9 	23777	103.5 	102.3 	103.3 	1.0 	7.0 	139222	105.7 	1.07 	1 
105.1 	105.9 	23461	102.4 	101.1 	103.9 	0.5 	4.0 	141531	105.1 	1.06 	1 
105.9 	106.0 	24051	103.2 	100.8 	105.7 	-0.1 	7.9 	141263	105.3 	1.06 	1 
106.3 	106.8 	24272	103.5 	101.7 	104.9 	-0.3 	4.7 	140995	106.1 	1.06 	1 
106.6 	107.2 	24338	104.2 	103.3 	104.7 	-0.2 	2.9 	140727	108.6 	1.06 	1 
105.4 	106.6 	24218	102.2 	105.2 	105.4 	-0.9 	3.3 	141301	106.5 	1.06 	1 
106.0 	106.9 	24299	102.7 	106.4 	106.6 	-0.2 	3.9 	141874	106.9 	1.05 	1 
106.0 	107.3 	24650	102.9 	105.5 	101.4 	-0.7 	1.9 	142448	107.7 	1.06 	1 
105.6 	107.3 	24541	101.9 	105.6 	103.9 	-0.7 	5.8 	143354	108.2 	1.07 	1 
106.8 	108.1 	24534	102.6 	104.2 	105.4 	0.1 	7.7 	144259	107.5 	1.07 	1 
106.9 	108.4 	24650	102.7 	104.3 	105.0 	-0.4 	5.4 	145165	107.7 	1.07 	1 
107.0 	108.6 	24162	101.1 	102.9 	106.0 	-2.3 	5.9 	144073	106.5 	1.06 	1 
109.7 	111.0 	24847	106.4 	102.6 	105.3 	0.5 	3.8 	142980	107.4 	1.05 	1 
107.9 	110.4 	24952	104.9 	101.7 	103.7 	0.5 	1.2 	141888	105.9 	1.03 	1 
110.0 	113.0 	24819	106.2 	103.1 	103.9 	0.8 	5.4 	138171	108.1 	1.01 	0 
