2331.47 	1724.40 	 4265.60 	160794.87 
2386.00 	1787.00 	 4433.30 	162150.00 
2530.00 	1859.00 	 4594.50 	165997.70 
2639.00 	1933.00 	 4775.70 	170155.10 
2792.00 	2004.00 	 4976.60 	175601.80 
2971.00 	2076.00 	 5200.20 	181710.33 
3166.00 	2147.00 	 5444.00 	187595.49 
3245.00 	2229.00 	 5691.10 	192746.87 
3400.00 	2315.00 	 5919.60 	197915.19 
3503.00 	2395.00 	 6169.40 	204405.56 
3510.00 	2464.00 	 6433.20 	207886.07 
3627.00 	2520.00 	 6673.70 	210172.05 
3824.00 	2565.00 	 6948.00 	218025.51 
4045.00 	2607.00 	 7273.10 	226444.52 
4021.00 	2647.00 	 7627.30 	231627.72 
4007.00 	2687.00 	 7918.90 	229549.82 
4230.00 	2727.00 	 8136.90 	245328.53 
4426.00 	2765.00 	 8398.40 	262689.48 
4670.00 	2797.00 	 8728.80 	283390.63 
4819.00 	2836.00 	 9111.50 	301148.01 
4808.00 	2881.00 	 9508.10 	312758.80 
4925.00 	2928.00 	 9829.90 	314790.62 
4826.00 	2968.00 	10142.60 	310661.31 
5035.00 	3005.00 	10384.00 	313280.18 
5400.00 	3049.00 	10666.80 	324809.35 
5608.00 	3108.00 	11045.00 	329974.41 
5800.00 	3185.00 	11440.50 	338268.69 
5997.00 	3275.00 	11826.90 	348074.08 
6247.00 	3373.00 	12190.80 	356721.63 
6466.00 	3465.00 	12562.00 	365114.73 
6580.00 	3561.00 	12931.40 	370517.45 
6549.00 	3666.00 	13258.10 	367966.87 
6749.00 	3767.00 	13499.50 	371224.53 
6928.00 	3866.00 	13776.50 	377622.53 
7208.00 	3952.00 	14102.70 	387323.53 
7400.00 	4034.00 	14490.50 	393990.86 
7665.00 	4117.00 	14910.70 	400607.30 
8004.00 	4204.00 	15399.40 	410857.82 
8347.00 	4300.00 	15964.10 	417818.62 
8688.00 	4402.00 	16632.10 	425228.71 
9048.00 	4520.00 	17360.20 	431662.30 
9156.00 	4637.00 	18151.80 	432569.60 
