 76610.27 	 66864.90 	 137247.80 	102372.69 
 85690.99 	 69546.40 	 142752.90 	103353.31 
 93057.46 	 73134.00 	 150288.40 	104267.66 
101234.89 	 78118.50 	 158572.10 	104833.20 
112558.68 	 83904.60 	 167993.10 	105832.83 
118944.16 	 90008.50 	 180007.90 	107094.58 
131134.05 	 96750.60 	 192095.70 	108993.66 
145668.85 	105034.50 	 205739.80 	110752.62 
163016.56 	113476.00 	 223899.10 	112389.66 
182502.06 	123490.80 	 246878.60 	112942.59 
201267.67 	134452.00 	 275836.10 	113806.00 
210101.52 	147042.10 	 310108.60 	115201.45 
227778.40 	162270.80 	 342848.40 	115959.75 
246075.04 	180158.10 	 377555.50 	119762.10 
243060.14 	198583.80 	 417750.30 	119953.12 
250574.31 	213616.70 	 452345.20 	120443.20 
260534.71 	229476.10 	 483672.90 	123339.95 
271973.07 	245334.40 	 515158.50 	126518.61 
286311.54 	262795.60 	 545235.90 	129538.86 
302012.65 	283161.90 	 576452.50 	132642.41 
310719.60 	303568.40 	 610167.50 	135532.11 
319573.90 	320903.50 	 643037.10 	137150.83 
329620.60 	338434.40 	 675291.20 	138961.35 
337096.70 	354710.50 	 706246.50 	141804.00 
350027.80 	369689.60 	 735161.90 	143067.86 
365304.10 	383118.80 	 766945.30 	144625.48 
376155.10 	394316.10 	 802861.10 	146327.63 
392949.80 	405748.80 	 840450.60 	148202.58 
418530.70 	418347.60 	 883161.70 	151165.31 
440638.50 	431571.70 	 934824.00 	154696.44 
464133.10 	444134.00 	 993540.00 	158234.50 
478606.30 	457374.40 	1058519.10 	161971.78 
483040.00 	471013.10 	1121244.80 	164312.04 
485063.40 	488337.90 	1171701.80 	165282.64 
489896.80 	509863.40 	1209301.80 	166128.38 
497587.00 	531497.10 	1241182.00 	166845.45 
514852.20 	552359.20 	1270863.00 	168221.06 
524121.80 	575119.40 	1304480.00 	170686.51 
518357.70 	592611.90 	1340924.50 	170080.32 
521826.90 	608324.10 	1369275.20 	169352.60 
534148.20 	625259.50 	1391756.50 	169568.38 
531840.43 	637248.00 	1420244.80 	169448.40 
